Review Text,Sentiment,Genre
I loved this movie! It was so captivating.,Positive,Drama
"The acting was terrible, and the plot was boring.",Negative,Comedy
"This film was amazing, I can't stop thinking about it.",Positive,Sci-Fi
The worst movie I've ever seen.,Negative,Horror
A heartwarming story with great characters.,Positive,Romance
The special effects were awful.,Negative,Action
Couldn't stop laughing throughout the whole film.,Positive,Comedy
The plot twist at the end was unexpected.,Positive,Mystery
Predictable storyline and dull performances.,Negative,Thriller
This movie is a masterpiece!,Positive,Drama
